,word1_id,word2_id,count
539,45923,28840,36
540,45923,46519,15
541,45923,5308,7
542,47137,31463,14
543,47137,23673,12
544,47137,31730,12
545,20029,8820,3
546,20029,34541,3
547,20029,1185,3
548,23868,557,2
549,23868,721,1
550,23868,27127,1
551,36246,557,2
552,4032,906,92
553,4032,23947,45
554,4032,5854,31
555,557,35058,8
556,557,33550,8
557,557,18660,7
558,41431,40638,6
559,41431,33609,6
560,41431,46983,6
561,21454,906,89
562,21454,18429,50
563,21454,33253,27
564,11495,41431,2
565,11495,42300,2
566,11495,18309,1
567,9169,41431,2
568,9169,42300,2
569,9169,18309,1
570,35485,41431,2
571,35485,42300,2
572,35485,18309,1
573,42300,41431,2
574,5342,41431,2
575,5342,42300,2
576,5342,33767,1
577,36484,41431,2
578,36484,42300,2
579,27305,41431,2
580,27305,42300,2
581,5137,39867,19
582,5137,5854,8
583,5137,28326,7
584,28599,23000,10
585,28599,37090,8
586,28599,44753,8
587,32676,16148,2
588,32676,43778,2
589,6310,8280,9
590,6310,19289,9
591,6310,8209,8
592,28664,7180,4
593,28664,26547,3
594,28664,906,3
595,10897,16148,2
596,10897,43778,2
597,16043,17733,21
598,16043,34185,7
599,16043,906,6
600,37034,16148,2
601,37034,43778,2
602,6113,29568,13
603,6113,17197,7
604,6113,721,3
605,16148,43778,2
606,16148,37834,1
607,16148,40846,1
608,25565,32839,64
609,25565,24258,61
610,25565,41101,61
611,43778,16148,2
612,43778,46366,2
613,43778,6556,2
614,32008,37790,4
615,32008,10324,4
616,32008,42143,4
617,23762,16148,2
618,23762,43778,2
619,23762,2383,2
620,12783,28923,6
621,12783,17237,4
622,12783,15782,3
623,40864,16148,2
624,40864,43778,2
625,40864,2383,2
626,46782,7358,2
627,46782,7297,2
628,46782,8094,2
629,34063,8791,15
630,34063,26514,4
631,34063,8094,3
632,44277,32412,5
633,44277,17081,4
634,44277,906,3
635,3039,906,70
636,3039,32839,38
637,3039,28819,29
638,40273,24248,3
639,40273,32839,3
640,40273,27026,3
641,7358,7297,2
642,7358,8094,2
643,7358,17847,2
644,44161,7358,2
645,44161,7297,2
646,44161,8094,2
647,19655,3034,6
648,19655,7358,2
649,19655,7297,2
650,20679,7358,2
651,20679,7297,2
652,20679,8094,2
653,28670,33914,3
654,28670,7358,2
655,28670,7297,2
656,7297,31176,18
657,7297,2383,16
658,7297,13,15
659,8094,21398,8
660,8094,41430,4
661,8094,7297,3
662,45381,906,75
663,45381,32412,19
664,45381,36324,17
665,41899,906,9
666,41899,721,7
667,41899,29526,4
668,18802,906,45
669,18802,17600,25
670,18802,28819,21
671,10055,10149,3
672,10055,5308,2
673,10055,2660,2
674,16227,34185,3
675,16227,27562,3
676,16227,17197,3
677,28979,32839,25
678,28979,906,24
679,28979,41303,16
680,43166,17745,2
681,43166,30287,2
682,43166,15604,2
683,34472,43166,1
684,10118,40060,10
685,10118,11490,8
686,10118,7364,6
687,44443,43166,1
688,44443,16820,1
689,38224,43166,1
690,18948,6584,18
691,18948,9713,2
692,18948,14318,1
693,6584,33867,15
694,6584,38010,13
695,6584,26616,12
696,22464,6584,1
697,22464,14318,1
698,22464,32846,1
699,16217,40554,2
700,16217,19055,2
701,16217,6584,1
702,4706,6584,1
703,4706,14318,1
704,4706,32846,1
705,14318,12887,3
706,14318,35654,3
707,14318,28345,3
708,46419,15214,18
709,46419,10321,12
710,46419,8209,11
711,32846,906,26
712,32846,10553,14
713,32846,15034,10
714,33418,4920,3
715,33418,38488,1
716,33418,14318,1
717,38488,14318,1
718,38488,33280,1
719,43001,37,10
720,43001,32839,9
721,43001,906,7
722,39646,37067,37
723,39646,32839,36
724,39646,906,32
725,37223,27026,3
726,37223,20874,3
727,37223,28722,3
728,721,29526,54
729,721,38686,32
730,721,20763,32
731,33280,38488,1
732,33280,14318,1
733,17416,17277,1
734,17416,12127,1
735,17416,46907,1
736,8648,12887,5
737,8648,906,5
738,8648,19201,4
739,17277,12127,1
740,17277,46907,1
741,17277,35579,1
742,13185,6584,48
743,13185,906,35
744,13185,8270,18
745,12127,17277,1
746,12127,46907,1
747,12127,1814,1
748,9291,17277,1
749,9291,12127,1
750,9291,46907,1
751,27665,9199,54
752,27665,906,47
753,27665,32412,28
754,34439,30952,2
755,34439,40425,2
756,34439,16693,2
757,46907,17277,1
